#,Misconceptions about Force and Motion,Misconceptions about Vector Addition and Direction of Forces,Misconceptions about Friction and External Forces,Misconceptions and Understanding of Acceleration and Velocity
1,0,1,0,1
2,0,1,1,1
3,1,1,0,1
4,0,1,0,1
5,1,1,1,1
6,0,0,0,1
7,1,1,1,1
8,1,1,0,1
9,1,1,0,1
10,1,1,0,1
11,1,1,0,1
12,1,1,0,1
13,1,1,0,1
14,1,1,1,1
15,0,1,0,1
16,1,1,0,1
17,1,1,1,1
18,0,1,1,1
19,0,1,0,1
20,0,1,0,1
21,1,0,1,0
22,0,0,0,1
23,0,0,0,1
24,1,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,0,0,1
28,0,0,0,1
29,0,0,0,1
30,1,0,0,1
